AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,25,38.34027778,75,W,30,34,-75.50944444,12/1/2017 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,26,38.34055556,75,W,30,37,-75.51027778,7/1/2011 12:00:00 AM,7/31/2017 12:00:00 AM,0,0
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,26,38.34055556,75,W,30,37,-75.51027778,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,31,38.34194444,75,W,30,34,-75.50944444,7/1/2025 12:00:00 AM,,0,1
14705,Sibiu Airport,"Sibiu, Romania",47301,Romania,RO,,45,N,47,0,45.78333333,24,E,5,0,24.08333333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14705,Sibiu Airport,"Sibiu, Romania",47301,Romania,RO,,45,N,47,9,45.78583333,24,E,5,8,24.08555556,7/1/2011 12:00:00 AM,,0,1
14706,Beaufort MCAS,"Beaufort, SC",3701,United States,US,South Carolina,32,N,28,39,32.47750000,80,W,43,23,-80.72305556,10/1/2003 12:00:00 AM,11/30/2015 12:00:00 AM,0,0
14706,Beaufort MCAS,"Beaufort, SC",3701,United States,US,South Carolina,32,N,28,39,32.47750000,80,W,43,23,-80.72305556,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14706,Beaufort MCAS,"Beaufort, SC",3701,United States,US,South Carolina,32,N,28,50,32.48055556,80,W,43,9,-80.71916667,12/1/2015 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14706,Beaufort MCAS,"Beaufort, SC",3701,United States,US,South Carolina,32,N,28,50,32.48055556,80,W,43,9,-80.71916667,12/1/2017 12:00:00 AM,,0,1
14707,Fairfield County,"Winnsboro, SC",3701,United States,US,South Carolina,34,N,18,56,34.31555556,81,W,6,32,-81.10888889,10/1/2004 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14707,Fairfield County,"Winnsboro, SC",3701,United States,US,South Carolina,34,N,18,57,34.31583333,81,W,6,31,-81.10861111,12/1/2017 12:00:00 AM,,0,1
14708,Conway-Horry County,"Conway, SC",3701,United States,US,South Carolina,33,N,49,43,33.82861111,79,W,7,20,-79.12222222,1/1/2006 12:00:00 AM,,0,1
14709,Deadhorse Airport,"Deadhorse, AK",101,United States,US,Alaska,70,N,11,40,70.19444444,148,W,28,5,-148.46805556,1/1/1950 12:00:00 AM,5/31/1985 12:00:00 AM,0,0
14709,Deadhorse Airport,"Deadhorse, AK",101,United States,US,Alaska,70,N,11,41,70.19472222,148,W,27,55,-148.46527778,6/1/1985 12:00:00 AM,6/30/2012 12:00:00 AM,0,0
14709,Deadhorse Airport,"Deadhorse, AK",101,United States,US,Alaska,70,N,11,41,70.19472222,148,W,27,55,-148.46527778,10/1/2017 12:00:00 AM,,0,1
14709,Deadhorse Airport,"Deadhorse, AK",101,United States,US,Alaska,70,N,11,44,70.19555556,148,W,27,57,-148.46583333,7/1/2012 12:00:00 AM,9/30/2017 12:00:00 AM,0,0
14711,State College Air Depot,"State College, PA",2301,United States,US,Pennsylvania,40,N,46,15,40.77083333,77,W,52,53,-77.88138889,1/1/1950 12:00:00 AM,12/31/2002 12:00:00 AM,0,0
14711,State College Regional,"State College, PA",2301,United States,US,Pennsylvania,40,N,51,0,40.85000000,77,W,50,51,-77.84750000,7/1/2025 12:00:00 AM,,0,1
14711,University Park,"State College, PA",2301,United States,US,Pennsylvania,40,N,50,57,40.84916667,77,W,50,55,-77.84861111,1/1/2003 12:00:00 AM,7/31/2017 12:00:00 AM,0,0
14711,University Park,"State College, PA",2301,United States,US,Pennsylvania,40,N,50,57,40.84916667,77,W,50,55,-77.84861111,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14711,University Park,"State College, PA",2301,United States,US,Pennsylvania,40,N,51,0,40.85000000,77,W,50,51,-77.84750000,8/1/2017 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14711,University Park,"State College, PA",2301,United States,US,Pennsylvania,40,N,51,0,40.85000000,77,W,50,51,-77.84750000,12/1/2017 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14712,Scottsdale,"Phoenix, AZ",8101,United States,US,Arizona,33,N,37,22,33.62277778,111,W,54,38,-111.91055556,1/1/1950 12:00:00 AM,,0,1
14713,Schenectady County,"Schenectady, NY",2201,United States,US,New York,42,N,50,55,42.84861111,73,W,55,58,-73.93277778,7/1/2025 12:00:00 AM,,0,1
14713,Schenectady County,"Schenectady, NY",2201,United States,US,New York,42,N,51,9,42.85250000,73,W,55,43,-73.92861111,7/1/2011 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
