RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,TOTAL_THROUGHPUT
241,15048,SUX,Sioux Gateway Brig Gen Bud Day Field,"Sioux City, IA",62,62,124
242,13282,MGW,Morgantown Municipal Walter L Bill Hart Field,"Morgantown, WV",62,62,124
243,14812,SHR,Sheridan County,"Sheridan, WY",62,62,124
244,11905,GGG,East Texas Regional,"Longview, TX",62,62,124
245,15074,SWO,Stillwater Regional,"Stillwater, OK",62,62,124
246,11865,GCC,Northeast Wyoming Regional,"Gillette, WY",62,62,124
247,15401,TXK,Texarkana Regional-Webb Field,"Texarkana, AR",62,62,124
248,10728,BPT,Jack Brooks Regional,"Beaumont/Port Arthur, TX",62,62,124
249,11867,GCK,Garden City Regional,"Garden City, KS",62,62,124
250,11076,CMX,Houghton County Memorial,"Hancock/Houghton, MI",62,62,124
251,11097,COD,Yellowstone Regional,"Cody, WY",62,62,124
252,14960,SPS,Sheppard AFB/Wichita Falls Municipal,"Wichita Falls, TX",62,62,124
253,14543,RKS,Southwest Wyoming Regional,"Rock Springs, WY",62,62,124
254,14534,RIW,Central Wyoming Regional,"Riverton/Lander, WY",62,62,124
255,14237,PRC,Prescott Regional Ernest A Love Field,"Prescott, AZ",62,62,124
256,12016,GUM,Guam International,"Guam, TT",62,62,124
257,12559,JST,John Murtha Johnstown-Cambria County,"Johnstown, PA",62,62,124
258,15389,TWF,Joslin Field - Magic Valley Regional,"Twin Falls, ID",61,61,122
259,14520,RHI,Rhinelander/Oneida County,"Rhinelander, WI",61,61,122
260,10141,ABR,Aberdeen Regional,"Aberdeen, SD",61,61,122
261,10631,BJI,Bemidji Regional,"Bemidji, MN",61,61,122
262,14113,PIH,Pocatello Regional,"Pocatello, ID",61,61,122
263,12335,IMT,Ford,"Iron Mountain/Kingsfd, MI",61,61,122
264,11013,CIU,Chippewa County International,"Sault Ste. Marie, MI",61,61,122
265,12511,JLN,Joplin Regional,"Joplin, MO",61,61,122
266,14025,PBG,Plattsburgh International,"Plattsburgh, NY",60,60,120
267,15841,WRG,Wrangell Airport,"Wrangell, AK",60,60,120
268,10551,BET,Bethel Airport,"Bethel, AK",60,60,120
269,14256,PSG,Petersburg James A Johnson,"Petersburg, AK",60,60,120
270,10926,CDV,Merle K Mudhole Smith,"Cordova, AK",60,60,120
271,15991,YAK,Yakutat Airport,"Yakutat, AK",60,60,120
272,10170,ADQ,Kodiak Airport,"Kodiak, AK",59,60,119
273,11315,DIK,Dickinson - Theodore Roosevelt Regional,"Dickinson, ND",58,59,117
274,11233,CYS,Cheyenne Regional/Jerry Olson Field,"Cheyenne, WY",58,58,116
275,11447,DVL,Devils Lake Regional,"Devils Lake, ND",58,58,116
276,12519,JMS,Jamestown Regional,"Jamestown, ND",58,58,116
277,10779,BTM,Bert Mooney,"Butte, MT",57,58,115
278,11587,ESC,Delta County,"Escanaba, MI",55,55,110
279,13241,MEI,Key Field,"Meridian, MS",54,54,108
280,10739,BRD,Brainerd Lakes Regional,"Brainerd, MN",54,54,108
281,11471,EAU,Chippewa Valley Regional,"Eau Claire, WI",54,54,108
282,10918,CDC,Cedar City Regional,"Cedar City, UT",54,54,108
283,14109,PIB,Hattiesburg-Laurel Regional,"Hattiesburg/Laurel, MS",54,54,108
284,12255,HYS,Hays Regional,"Hays, KS",54,54,108
285,12902,LBL,Liberal Mid-America Regional,"Liberal, KS",54,54,108
286,10333,APN,Alpena County Regional,"Alpena, MI",54,54,108
287,12888,LAR,Laramie Regional,"Laramie, WY",54,54,108
288,15569,VCT,Victoria Regional,"Victoria, TX",54,54,108
289,13211,MCW,Mason City Municipal,"Mason City, IA",54,54,108
290,10617,BIH,Bishop Airport,"Bishop, CA",54,54,108
291,11725,FOD,Fort Dodge Regional,"Fort Dodge, IA",54,54,108
292,12129,HIB,Range Regional,"Hibbing, MN",54,54,108
293,11288,DEC,Decatur Airport,"Decatur, IL",54,54,108
294,12343,INL,Falls International Einarson Field,"International Falls, MN",54,54,108
295,11283,DDC,Dodge City Regional,"Dodge City, KS",54,54,108
296,14150,PLN,Pellston Regional Emmet County,"Pellston, MI",54,54,108
297,11468,EAR,Kearney Regional,"Kearney, NE",53,53,106
298,10558,BFF,Scottsbluff W Neb Regional Wm B Heilig Field,"Scottsbluff, NE",53,53,106
299,12899,LBF,North Platte Regional Airport Lee Bird Field,"North Platte, NE",53,53,106
300,11898,GFK,Grand Forks International,"Grand Forks, ND",53,53,106
301,12544,USA,Concord Padgett Regional,"Concord, NC",50,50,100
302,14709,SCC,Deadhorse Airport,"Deadhorse, AK",48,48,96
303,15070,SWF,New York Stewart International,"Newburgh/Poughkeepsie, NY",47,47,94
304,14254,PSE,Mercedita,"Ponce, PR",45,44,89
305,14716,SCK,Stockton Metro,"Stockton, CA",42,42,84
306,15323,TRI,Tri Cities,"Bristol/Johnson City/Kingsport, TN",41,41,82
307,13076,LSE,La Crosse Regional,"La Crosse, WI",37,38,75
308,14259,PSM,Portsmouth International at Pease,"Portsmouth, NH",37,37,74
